State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Unemployment
Alabama,Autauga,55221,26745,28476,2.6,75.8,18.5,0.4,1,0,24974,7.6
Alabama,Baldwin,195121,95314,99807,4.5,83.1,9.5,0.6,0.7,0,27317,7.5
Alabama,Barbour,26932,14497,12435,4.6,46.2,46.7,0.2,0.4,0,16824,17.6
Alabama,Bibb,22604,12073,10531,2.2,74.5,21.4,0.4,0.1,0,18431,8.3
Alabama,Blount,57710,28512,29198,8.6,87.9,1.5,0.3,0.1,0,20532,7.7
Alabama,Bullock,10678,5660,5018,4.4,22.2,70.7,1.2,0.2,0,17580,18
Alabama,Butler,20354,9502,10852,1.2,53.3,43.8,0.1,0.4,0,18390,10.9
Alabama,Calhoun,116648,56274,60374,3.5,73,20.3,0.2,0.9,0,21374,12.3
Alabama,Chambers,34079,16258,17821,0.4,57.3,40.3,0.2,0.8,0,21071,8.9
Alabama,Cherokee,26008,12975,13033,1.5,91.7,4.8,0.6,0.3,0,21811,7.9
Alabama,Chilton,43819,21619,22200,7.6,80.5,10.2,0.4,0.3,0,21399,9.1
Alabama,Choctaw,13395,6382,7013,0.4,55.9,42.9,0,0,0,20755,13.6
Alabama,Clarke,25070,11834,13236,0.3,53.4,45.3,0,0.4,0.4,20064,19.4
Alabama,Clay,13537,6671,6866,3.2,79.9,14.4,0.7,0,0,18905,9.4
Alabama,Cleburne,15002,7334,7668,2.3,92.5,2.9,0.2,0.4,0,20151,8.3
Alabama,Coffee,50884,25174,25710,6.4,71.5,17.2,0.8,1.2,0,24936,7.1
Alabama,Colbert,54444,26303,28141,2.4,78.9,15.6,0.6,0.3,0.1,22546,9
Alabama,Conecuh,12865,6176,6689,1.6,51,44.7,0.3,0,0,15968,22.6
Alabama,Coosa,11027,5579,5448,2.1,65.2,30.7,0.1,0,0,17519,17
Alabama,Covington,37886,18339,19547,1.5,83.3,13,0.5,0.3,0.1,20977,11.2
Alabama,Crenshaw,13938,6863,7075,1.7,70.5,23.5,0.8,1.8,0,20585,9.7
Alabama,Cullman,80965,40081,40884,4.3,92.2,1.1,0.4,0.6,0,20881,7.3
Alabama,Dale,49866,24708,25158,6,69.8,19.4,0.5,1.2,0,22566,10.9
Alabama,Dallas,42154,19450,22704,0.3,28.6,69.2,0.2,0.3,0,17808,16.4
Alabama,DeKalb,71068,35474,35594,14,80.9,1.8,1.1,0.3,0.1,18411,7.7
Alabama,Elmore,80763,39362,41401,2.8,73.6,21,0.2,0.5,0,24381,8.3
Alabama,Escambia,37935,19524,18411,1.2,60.7,33.4,3.2,0.1,0,17045,15.6
Alabama,Etowah,103766,50207,53559,3.6,78.5,15.4,0.3,0.7,0.1,20500,9
Alabama,Fayette,16896,8477,8419,0.7,85.3,12,0,0.4,0,19545,10
Alabama,Franklin,31634,15311,16323,15.7,78.5,4.1,0.7,0.1,0.1,18595,9.8
Alabama,Geneva,26815,13174,13641,3.6,84,8.7,0.3,1.2,0,20224,11.2
Alabama,Greene,8697,4095,4602,0.7,17.8,80.6,0.1,0.2,0,13611,20.4
Alabama,Hale,15256,7183,8073,1.1,40,58.2,0.3,0.3,0.1,18877,13.3
Alabama,Henry,17252,8259,8993,2.5,68.3,28.4,0,0,0,22931,8.1
Alabama,Houston,103534,49563,53971,3.2,67.7,26.2,0.3,0.8,0,23925,8.3
Alabama,Jackson,52860,26076,26784,2.7,89.4,3.1,1.1,0.4,0.1,20066,10.1
Alabama,Jefferson,659026,311581,347445,3.8,51,42.2,0.2,1.6,0,27240,9.1
Alabama,Lamar,14133,6832,7301,1.4,86,11.1,0.3,0,0,20130,10.2
Alabama,Lauderdale,92737,44419,48318,2.4,84.9,9.9,0.4,0.7,0,24215,7.1
Alabama,Lawrence,33586,16421,17165,2.1,76.5,11.4,5.4,0.1,0,21369,9.8
Alabama,Lee,150982,74277,76705,3.7,68.2,23,0.1,3.3,0,24356,7.3
Alabama,Limestone,88805,44626,44179,5.8,77.4,12.8,0.5,1.2,0,25569,7.8
Alabama,Lowndes,10742,5125,5617,0.3,25.3,74.1,0,0,0,18429,13.2
Alabama,Macon,20018,9166,10852,1.6,16.1,80.9,0.3,0.2,0,17374,16.9
Alabama,Madison,346438,169422,177016,4.7,65.6,23.9,0.6,2.5,0.1,32131,8.5
Alabama,Marengo,20306,9452,10854,2.3,45.8,51.3,0.1,0.1,0,21471,11.4
Alabama,Marion,30387,15004,15383,2.4,91.8,3.7,0.2,0.3,0,20042,9.9
Alabama,Marshall,94318,46409,47909,12.7,82.7,1.9,0.4,0.5,0,21363,8.4
Alabama,Mobile,414251,198216,216035,2.6,58.1,35,0.6,1.9,0,22953,9.8
Alabama,Monroe,22217,10639,11578,1.1,54.8,41.8,1.3,0.3,0,15863,20.7
Alabama,Montgomery,228138,108296,119842,3.4,36.9,55.8,0.2,2.2,0,25138,8.8
Alabama,Morgan,119786,58814,60972,7.8,76.8,12.1,0.5,0.6,0.1,24449,9.9
Alabama,Perry,10038,4651,5387,0.9,30,68,0,0.4,0,14804,11.2
Alabama,Pickens,19856,9657,10199,1.6,55.2,42.3,0,0.1,0,17957,13.8
Alabama,Pike,33155,15818,17337,0.9,57.1,38.2,0.8,2.1,0,19415,10.2
Alabama,Randolph,22648,11090,11558,2.9,75.2,19.6,0.3,0.2,0.2,19363,10.3
Alabama,Russell,58302,28347,29955,4.8,49.8,41.6,0.3,0.8,0.2,19882,11.1
Alabama,St. Clair,85864,43141,42723,2.2,86.3,9.4,0.4,0.8,0,24168,8.4
Alabama,Shelby,203530,99134,104396,5.8,78.8,11.7,0.2,2,0,33494,5.5
Alabama,Sumter,13341,5905,7436,0.4,24.8,72.4,0.4,1.7,0,12887,16.8
Alabama,Talladega,81437,39494,41943,2.2,63.7,31.9,0.3,0.4,0,19598,13.8
Alabama,Tallapoosa,41153,19593,21560,2.5,69,27.4,0.3,0,0,21177,9
Alabama,Tuscaloosa,200458,96781,103677,3.2,63.5,30.6,0.1,1.5,0,23124,7.6
Alabama,Walker,65923,32013,33910,2.3,89.6,5.7,0.1,0.4,0,20166,11.4
Alabama,Washington,16997,8490,8507,1.3,65.2,24.9,8.1,0.4,0,19743,20
Alabama,Wilcox,11235,5376,5859,0.6,27.4,72,0,0,0,14170,20.8
Alabama,Winston,24130,11876,12254,2.8,94.3,0.5,0.3,0.2,0,18808,9.6
Alaska,Aleutians East Borough,3304,2198,1106,12,15,9.2,29,30.5,1.1,28608,2.9
Alaska,Aleutians West Census Area,5684,3393,2291,11,27.8,4.6,12.9,36.8,2.4,31754,2.1
Alaska,Anchorage Municipality,299107,153122,145985,8.6,60.3,5.5,6.3,8.7,2.1,36920,6.7
Alaska,Bethel Census Area,17776,9351,8425,1.8,11.3,0.8,80.6,1.2,0.3,17746,17.6
Alaska,Bristol Bay Borough,970,553,417,7.1,53.4,0.5,29,0.7,0.2,38267,5.4
Alaska,Denali Borough,2060,1126,934,2.6,84.7,0.6,3.5,2.9,0,35315,2.3
Alaska,Dillingham Census Area,4979,2589,2390,2.9,17.7,0.3,71.7,1.4,0,22257,12.5
Alaska,Fairbanks North Star Borough,99705,53477,46228,7.4,71.9,4.1,5.7,2.6,0.6,33244,7.9
Alaska,Haines Borough,2560,1387,1173,1.5,79.6,0,6.4,3,0,33902,3
Alaska,Hoonah-Angoon Census Area,2128,1129,999,2.2,49.3,2.2,32.4,2.6,0,30943,13.1
Alaska,Juneau City and Borough,32531,16645,15886,6.1,66,1.2,11.8,6.2,1.1,39979,5.2
Alaska,Kenai Peninsula Borough,57221,29974,27247,3.7,81.7,0.6,7.3,1.3,0.1,31537,9.4
Alaska,Ketchikan Gateway Borough,13699,7038,6661,4.8,65,0.4,13.6,7.3,0.1,32021,7.9
Alaska,Kodiak Island Borough,13973,7468,6505,8.5,51.4,0.4,13.3,21.3,0.9,30657,6.3
Alaska,Kusilvak Census Area,7914,4200,3714,1,4.5,0.4,87.4,0.4,0.1,11569,28.6
Alaska,Lake and Peninsula Borough,1474,731,743,2.2,21,0.5,67.6,3.2,0.7,23041,9.8
Alaska,Matanuska-Susitna Borough,96178,50205,45973,4.5,80.8,1,5.1,1.4,0.3,29913,9.8
Alaska,Nome Census Area,9854,5272,4582,2,16.5,0.7,69.8,1.2,0.2,19804,16.5
Alaska,North Slope Borough,9667,6172,3495,3.6,32.2,0.5,47.4,5.3,5.6,51085,9.3
Alaska,Northwest Arctic Borough,7732,4165,3567,1.8,11.8,0.3,81.5,0.8,0,21101,21.9
Alaska,Petersburg Borough,3221,1708,1513,9.4,68.6,3,5.9,2.3,0.4,34884,8.4
Alaska,Prince of Wales-Hyder Census Area,6376,3468,2908,3.2,46,0.2,40.3,0.8,0.3,25205,13.9
Alaska,Sitka City and Borough,8943,4584,4359,6,62.7,1.1,13.6,5.8,0.3,33890,3.8
Alaska,Skagway Municipality,999,527,472,4.5,75.3,0,5,10.6,0,38696,7.8
Alaska,Southeast Fairbanks Census Area,7029,3909,3120,4.8,76.7,1.1,10.5,1.4,0.2,30079,9.4
Alaska,Valdez-Cordova Census Area,9617,5137,4480,4.4,70.1,0,14.8,3.2,0.4,33293,10.7
Alaska,Wrangell City and Borough,2387,1227,1160,1.4,68.5,0.2,17.3,2.5,0,30089,7.5
Alaska,Yakutat City and Borough,643,367,276,2.6,39.3,1.4,32.2,6.7,1.2,33159,7.9
Alaska,Yukon-Koyukuk Census Area,5644,3038,2606,1.9,21.8,0.3,69.9,0.5,0,20698,18.2
Arizona,Apache,72124,35663,36461,6.3,19.3,0.6,71.7,0.4,0.1,13011,18.2
Arizona,Cochise,129647,66100,63547,33.9,56.7,3.6,0.8,1.7,0.1,23506,8.7
Arizona,Coconino,136701,67553,69148,13.8,54.7,1.4,26,1.6,0.1,24308,8.8
Arizona,Gila,53165,26436,26729,18.6,63.7,0.6,15.1,0.6,0,20583,12.8
Arizona,Graham,37407,20049,17358,31.8,51.7,1.9,12.9,0.6,0.1,17481,14.1
Arizona,Greenlee,9023,4748,4275,47,47.2,1.4,2.8,0.4,0,21994,10
Arizona,La Paz,20335,10378,9957,25.5,59.9,0.2,12.2,0.8,0.3,20439,11.2
Arizona,Maricopa,4018143,1986158,2031985,30.1,57.3,4.9,1.6,3.7,0.2,27832,7.7
Arizona,Mohave,203362,102371,100991,15.6,78.2,1,1.7,1.1,0.1,20974,13.2
Arizona,Navajo,107656,53984,53672,11.1,42.6,0.5,43.1,0.6,0.1,16486,19.8
Arizona,Pima,998537,491108,507429,35.7,53.7,3.3,2.4,2.6,0.1,25729,10
Arizona,Pinal,389772,202502,187270,29.1,58,4.4,4.7,1.6,0.4,21130,10.6
Arizona,Santa Cruz,47073,22566,24507,82.8,15.6,0.2,0.1,1,0.1,17795,11.3
Arizona,Yavapai,215996,105693,110303,14.1,81.1,0.6,1.6,0.8,0,25418,10
Arizona,Yuma,202987,103779,99208,61.1,33.5,1.9,1,1.2,0.1,19102,13.1
Arkansas,Arkansas,18731,8936,9795,2.9,70.3,25.3,0.1,0.4,0,22473,8.3
Arkansas,Ashley,21229,10185,11044,5.1,67.9,26,0.3,0.1,0,19891,11.8
Arkansas,Baxter,41040,19811,21229,1.9,95.3,0.3,0.6,0.5,0,22475,7.6
Arkansas,Benton,238198,117781,120417,16,75,1.5,1.4,3.4,0.4,27934,4.2
Arkansas,Boone,37227,18138,19089,2.2,94.5,0.4,0.7,0.5,0,21946,8.4
Arkansas,Bradley,11206,5534,5672,14,57,28.6,0,0,0,20252,9.4
Arkansas,Calhoun,5245,2692,2553,3.5,73,22.2,0.1,0.2,0,20537,7.2
Arkansas,Carroll,27635,13535,14100,14.3,81.6,0.4,0.3,0.4,1.2,20195,6.2
Arkansas,Chicot,11353,5577,5776,5.3,39.5,53.9,0.4,0.3,0,19053,11.5
Arkansas,Clark,22751,10786,11965,4.3,69.6,23.9,0.1,0.8,0,19555,8.4
Arkansas,Clay,15400,7588,7812,1.7,96,0.4,0.3,0.1,0,19166,9.5
Arkansas,Cleburne,25711,12842,12869,2.4,95.1,0.5,0.5,0.3,0,24912,10.2
Arkansas,Cleveland,8510,4234,4276,2,85,11,0.2,0.1,0,21905,9.7
Arkansas,Columbia,24327,11569,12758,2.7,59.2,35.5,0.3,0.7,0,20045,10.1
Arkansas,Conway,21110,10346,10764,3.9,81.8,12,0.7,0.1,0,21897,8.1
Arkansas,Craighead,101409,49362,52047,4.7,78.3,13.7,0.3,1.2,0.1,23091,7.5
Arkansas,Crawford,61748,30269,31479,6.6,85.9,1.1,1.4,1.6,0,20849,7.9
Arkansas,Crittenden,49765,23482,26283,2.3,44.4,50.7,0.2,0.6,0.2,19682,9.9
Arkansas,Cross,17467,8384,9083,1.7,73.6,22.8,0.3,0.6,0,19543,8.6
Arkansas,Dallas,7868,3877,3991,2.8,53.7,40.9,0,2.2,0,17868,8.3
Arkansas,Desha,12379,5741,6638,4.6,46.4,47.8,0,0.1,0,17788,17.7
Arkansas,Drew,18740,9215,9525,2.9,66.9,28.8,0.1,0.3,0,17481,14.3
Arkansas,Faulkner,119343,58488,60855,4,81.4,11.3,0.3,1.3,0,24603,6.6
Arkansas,Franklin,17866,8797,9069,2.7,92.8,0.7,1.6,0.3,0,19550,11
Arkansas,Fulton,12224,6055,6169,1.2,95.9,0.1,0.4,1.5,0,19163,7.6
Arkansas,Garland,96954,46921,50033,5.2,83,8.3,0.5,0.6,0,24070,9.2
Arkansas,Grant,18054,8875,9179,1.2,93.1,3.8,0.3,0.5,0,23686,9.4
Arkansas,Greene,43382,21477,21905,2.6,94.5,0.9,0.2,0.1,0,20689,9
Arkansas,Hempstead,22336,10787,11549,12.5,55.7,29.7,0.2,0,0,17049,7.9
Arkansas,Hot Spring,33316,17089,16227,3.1,83,11.7,0.6,0.2,0,18956,7.6
Arkansas,Howard,13555,6596,6959,10.6,66.1,21.8,0.9,0,0,21273,8.5
Arkansas,Independence,36952,18064,18888,6,89.3,2,0.3,0.9,0,20242,6.9
Arkansas,Izard,13480,6997,6483,1.8,95.8,1.2,0.2,0.2,0.3,18995,10
Arkansas,Jackson,17597,8737,8860,2.8,77.6,17.2,0.5,0.2,0,17797,7.9
Arkansas,Jefferson,73548,36165,37383,1.9,40.5,55.5,0.1,0.8,0.1,19885,11.2
Arkansas,Johnson,25930,12834,13096,13.4,81.5,1.5,0.4,1,0.2,19341,6.2
Arkansas,Lafayette,7270,3534,3736,1.2,59.7,38.2,0,0.2,0,20904,12.5
Arkansas,Lawrence,17029,8303,8726,1.2,96.1,0.9,0.3,0.1,0,17312,6.9
Arkansas,Lee,9966,5561,4405,2.3,41,56.4,0.1,0,0,14298,17.3
Arkansas,Lincoln,14062,8596,5466,3.5,65,30.7,0.3,0,0,14377,14.2
Arkansas,Little River,12720,6384,6336,3.1,73.4,20.7,1.2,0,0,19858,8.8
Arkansas,Logan,22001,11022,10979,2.5,91.6,1.8,0.9,2,0,20011,8.1
Arkansas,Lonoke,70691,34831,35860,3.9,87,6.1,0.5,0.6,0.1,23555,5.9
Arkansas,Madison,15702,7865,7837,5.2,90.9,0,0.5,0.6,0,20693,7.3
Arkansas,Marion,16458,8172,8286,2.2,94.8,0.3,0.7,0.7,0,17779,10.9
Arkansas,Miller,43652,21540,22112,3,69.8,24.7,0.4,0.1,0,21104,9.6
Arkansas,Mississippi,44864,21815,23049,3.8,59.6,34.5,0.1,0.3,0,19073,12
Arkansas,Monroe,7713,3642,4071,2.1,55.1,40.7,0.2,0.5,0,17470,12.8
Arkansas,Montgomery,9197,4547,4650,3.7,91.9,0.6,0.7,0.6,0,19975,4.3
Arkansas,Nevada,8793,4367,4426,3.2,64.1,30.6,0.3,1.3,0,17277,9.5
Arkansas,Newton,8052,4035,4017,1.1,94.4,0,1.4,0.5,0,18038,4.4
Arkansas,Ouachita,25044,11790,13254,2,55.7,40.1,0.2,0.2,0,19810,8.3
Arkansas,Perry,10300,5133,5167,2.7,92.7,2.1,0.3,0.1,0,22328,6.8
Arkansas,Phillips,20391,9529,10862,1.6,35.2,61.5,0.1,0.1,0,16700,18.1
Arkansas,Pike,11087,5420,5667,6.5,87.7,3.1,0.2,0.5,0,19294,6.6
Arkansas,Poinsett,24210,11819,12391,2.6,87.9,8.2,0.2,0,0,17202,10
Arkansas,Polk,20364,9929,10435,6.3,88.7,0.2,1.1,0.4,0,19004,9
Arkansas,Pope,62830,31083,31747,7.8,85.5,2.9,0.6,0.7,0,20047,7.6
Arkansas,Prairie,8402,4137,4265,1.1,85.4,12.3,0.4,0.1,0,19329,6.2
Arkansas,Pulaski,390463,187292,203171,5.9,54.2,35.4,0.3,2.1,0,27708,7.5
Arkansas,Randolph,17695,8678,9017,1.8,95.5,0.7,0.2,0,0,19011,5.4
Arkansas,St. Francis,27345,14996,12349,4.4,41.2,51.7,0.3,0.3,0,15971,11.7
Arkansas,Saline,113833,55920,57913,4.1,87.1,5.8,0.3,0.9,0,26050,5.3
Arkansas,Scott,10870,5557,5313,7.5,84.4,0.2,1.6,2.9,0,17833,10.9
Arkansas,Searcy,7965,3984,3981,1.9,94.1,0.3,1.1,1.1,0,18533,5.9
Arkansas,Sebastian,127273,62355,64918,13.2,71.4,6.2,1.2,4.3,0.1,23182,6.1
Arkansas,Sevier,17268,8563,8705,32.2,59.3,4.7,1.9,0.5,0,17371,9.3
Arkansas,Sharp,17055,8302,8753,2,94,0.4,0.8,0.6,0.1,16848,8.8
Arkansas,Stone,12512,6340,6172,1.7,95.3,0,0.2,0.2,0,18944,7
Arkansas,Union,40633,19640,20993,3.6,61.5,32.8,0.5,0.5,0,21779,9.7
Arkansas,Van Buren,17002,8402,8600,2.9,93.6,0.5,0.4,0.2,0,19047,11.2
Arkansas,Washington,216432,108144,108288,16,72.5,3.2,0.9,2.5,2.2,24638,6.2
Arkansas,White,78660,38736,39924,4.1,88.6,4.5,0.2,0.6,0,22547,7.1
Arkansas,Woodruff,6983,3380,3603,0.5,69.5,26.8,0.1,1.1,0.1,18377,12.4
Arkansas,Yell,21835,10804,11031,19,76,2,0.5,1.5,0,18288,8.3
California,Alameda,1584983,776699,808284,22.6,33,11.3,0.3,27.5,0.8,37285,8.3
California,Alpine,1131,654,477,9.5,64.1,1,19.4,1.2,1.4,21415,10.7
California,Amador,36995,20012,16983,12.9,79.7,2.2,1.8,1.4,0.1,27473,14
California,Butte,222564,110115,112449,15.2,73.8,1.4,0.7,4.3,0.2,24259,12.1
California,Calaveras,44767,22143,22624,11.1,82.5,0.6,0.9,0.9,0.3,29553,12.1
California,Colusa,21396,11129,10267,57.4,37.5,0.6,1,2,0.2,21897,10.4
California,Contra Costa,1096068,534618,561450,24.9,46,8.6,0.3,15.1,0.5,39313,8.8
California,Del Norte,27788,15418,12370,19.1,63.3,2.8,4.8,2.1,0.3,19560,11.5
California,El Dorado,182093,90970,91123,12.5,79,0.9,0.6,3.9,0.1,35588,11.1
California,Fresno,956749,477316,479433,51.6,31.2,4.7,0.5,9.6,0.1,20408,13.2
California,Glenn,28029,14168,13861,39.6,53.7,0.9,1.7,2.5,0.3,21313,12.6
California,Humboldt,135034,67533,67501,10.6,75.7,1.1,4.6,2.6,0.3,23367,10.5
California,Imperial,178206,91167,87039,81.8,12.6,2.5,0.7,1.4,0.1,16143,17.4
California,Inyo,18373,9214,9159,20.6,64.8,1,10.2,1.3,0.6,27850,6.8
California,Kern,865736,444547,421189,51,36.6,5.3,0.6,4.4,0.1,20644,12.7
California,Kings,150998,83958,67040,52.6,34.1,5.9,0.7,3.5,0.2,18707,13
California,Lake,64158,32146,32012,18.5,72.6,2.1,3,1.3,0.3,21407,14.6
California,Lassen,32645,21818,10827,18.3,65.9,8.4,2.8,1.4,0.7,19274,10.9
California,Los Angeles,10038388,4945351,5093037,48.2,26.9,8,0.2,14,0.2,28337,10
California,Madera,153187,73863,79324,55.6,36.3,3.2,1.1,2,0.1,17970,7.5
California,Marin,258349,126460,131889,15.8,72,2.4,0.2,5.6,0.2,60236,5.7
California,Mariposa,17789,8931,8858,10.1,81.7,1.1,2.3,1.3,0.1,28316,11.6
California,Mendocino,87544,43827,43717,23.6,66.7,0.6,3.4,1.9,0.2,24059,12.2
California,Merced,263885,133152,130733,56.9,29.9,3.2,0.2,7.4,0.2,18204,16.2
California,Modoc,9184,4664,4520,14.6,77.8,0.5,3.5,0.9,0,21001,8.6
California,Mono,14146,7311,6835,27.3,66.5,0.4,1.6,1.1,0,29437,13.4
California,Monterey,428441,219299,209142,56.9,31.5,2.6,0.3,5.9,0.5,24994,8.4
California,Napa,140295,69798,70497,33.3,54.2,2,0.2,7.6,0.2,36475,7.5
California,Nevada,98570,48668,49902,9,85.7,0.5,0.9,1.4,0.1,32442,9.8
California,Orange,3116069,1539600,1576469,34.2,42.4,1.5,0.2,18.8,0.3,34817,7.6
California,Placer,366280,178729,187551,13.4,74.5,1.4,0.4,6.5,0.1,36022,8.3
California,Plumas,18966,9608,9358,8.3,84.3,0.7,1.8,0.9,0.9,30842,15.2
California,Riverside,2298032,1143477,1154555,47,37.8,5.9,0.4,6,0.3,23783,12.9
California,Sacramento,1465832,717117,748715,22.3,46.8,9.6,0.4,14.8,1,27315,11.8
California,San Benito,57557,28773,28784,57.9,36.6,0.7,0.3,2.5,0.1,27239,12.2
California,San Bernardino,2094769,1042053,1052716,51.1,31.2,8.1,0.4,6.5,0.3,21352,12.6
California,San Diego,3223096,1618945,1604151,32.9,47,4.7,0.4,11.2,0.4,31266,8.7
California,San Francisco,840763,427909,412854,15.3,41.2,5.3,0.2,33.5,0.4,52220,6.8
California,San Joaquin,708554,352400,356154,40.1,34.3,6.7,0.3,14.5,0.5,22645,13.7
California,San Luis Obispo,276517,140953,135564,21.8,69.8,1.9,0.4,3.6,0.1,31060,6.6
California,San Mateo,748731,368416,380315,25.3,40.8,2.5,0.1,26.2,1.4,48278,6.7
California,Santa Barbara,435850,218483,217367,44.1,46.3,1.7,0.4,4.9,0.1,30589,8
California,Santa Clara,1868149,939004,929145,26.6,33.6,2.4,0.2,33.5,0.3,43880,7.7
California,Santa Cruz,269278,133714,135564,32.9,58.3,0.9,0.2,4.2,0.1,33241,7.6
California,Shasta,178942,87851,91091,9.2,81.2,1,2.2,2.6,0.2,24107,10.3
California,Sierra,3021,1505,1516,8.9,88,0.1,0.9,0,0.5,29986,8
California,Siskiyou,43895,21825,22070,11.5,78,1.4,2.7,1.6,0.3,22561,12.7
California,Solano,425753,211881,213872,25.3,39.8,13.5,0.3,14.6,0.8,29185,11.4
California,Sonoma,495078,242817,252261,25.8,64.7,1.4,0.5,3.8,0.3,34235,8.1
California,Stanislaus,527367,261045,266322,43.6,44.7,2.4,0.5,5.2,0.7,21922,15.2
California,Sutter,95247,47349,47898,29.7,48.4,1.9,0.7,14.6,0.3,23689,13.2
California,Tehama,63152,31489,31663,23.5,70.1,0.5,1.8,1.3,0.2,21263,13.2
California,Trinity,13373,6878,6495,7.1,83,1.1,3.4,1.2,0.8,22975,9
California,Tulare,454033,227426,226607,62.4,30.7,1.3,0.7,3.2,0.1,17876,12
California,Tuolumne,54079,28218,25861,11.4,81.4,1.8,1.5,1.4,0.1,27054,12.9
California,Ventura,840833,416484,424349,41.6,47,1.6,0.3,6.9,0.1,33435,8.6
California,Yolo,207320,100937,106383,31.1,48.3,2.3,0.5,13.5,0.5,28116,9
California,Yuba,73437,37300,36137,26.7,56.8,3.2,1,7.1,0.3,20471,14.8
Colorado,Adams,471206,237107,234099,38.6,52.1,3,0.5,3.7,0.1,25039,7.9
Colorado,Alamosa,16269,7972,8297,45.7,49.3,1.6,1.2,1,0,19524,10.4
Colorado,Arapahoe,608310,299103,309207,18.7,62.2,9.9,0.3,5.3,0.2,34190,7.2
Colorado,Archuleta,12174,6202,5972,18.5,77.2,0.6,2.1,0.7,0,28884,8.2
Colorado,Baca,3701,1776,1925,9.8,86.5,1.1,1.2,0.1,0.1,21361,4.5
Colorado,Bent,5895,4046,1849,31.3,55.8,9.2,2.4,0.7,0,13544,8.3
Colorado,Boulder,310032,155795,154237,13.7,78.5,0.8,0.2,4.3,0,39074,6.1
Colorado,Broomfield,60699,30075,30624,11.9,78.2,0.9,0.2,5.9,0,40135,5.5
Colorado,Chaffee,18309,9798,8511,10.1,85.4,2,0.7,0.3,0,28064,5.9
Colorado,Cheyenne,2002,1051,951,12.9,84.5,0.3,0.1,1.5,0,23553,9.3
Colorado,Clear Creek,9136,4724,4412,5.5,90.7,1.3,0,0.6,0.4,42812,5.4
Colorado,Conejos,8249,4111,4138,54.4,43.3,0.1,1.6,0.2,0.2,18844,9.7
Colorado,Costilla,3581,1866,1715,64.4,32.1,0,0,0.8,0,21809,14
Colorado,Crowley,5551,3145,2406,30.2,61.1,5.3,0.9,0.4,0.5,10742,27
Colorado,Custer,4303,2148,2155,2.7,91.6,3,1.3,0,0.1,22661,14
Colorado,Delta,30214,15148,15066,14.7,82.1,1,0.5,0.6,0,24417,11.7
Colorado,Denver,649654,324730,324924,30.9,53.1,9.4,0.6,3.5,0.1,35218,6.3
Colorado,Dolores,1862,1017,845,5.9,90.7,0,1.2,0,0.2,20199,4.6
Colorado,Douglas,306974,152339,154635,8.1,84,1,0.2,4.1,0,45500,4.1
Colorado,Eagle,52576,27887,24689,30,67,0.6,0.3,1,0.1,38193,4.4
Colorado,Elbert,23855,11969,11886,6.2,89.9,0.5,0.4,0.5,0,38021,6.7
Colorado,El Paso,655024,329550,325474,16,70.6,5.7,0.4,2.7,0.3,29659,8.4
Colorado,Fremont,46809,27003,19806,13,78,5.1,1.3,0.7,0.1,18619,9.2
Colorado,Garfield,57076,29186,27890,28.1,68.7,0.4,0.7,0.7,0,27574,6.9
Colorado,Gilpin,5605,2878,2727,8.8,88.2,0.5,0,0.1,0,38361,4.9
Colorado,Grand,14411,7689,6722,6.2,88,1.4,0.2,1.9,0.7,31432,5.7
Colorado,Gunnison,15651,8427,7224,9,87.9,0.4,0.2,0.6,0.1,25584,7.8
Colorado,Hinsdale,874,416,458,1.3,97.1,0,0,0,0,33816,3
Colorado,Huerfano,6502,3290,3212,34.6,64.2,0.3,0.1,0.2,0,23467,15
Colorado,Jackson,1335,709,626,15.4,83.7,0.1,0.2,0,0,27938,1.5
Colorado,Jefferson,552344,274525,277819,15.1,78.8,1,0.5,2.5,0,37065,5.9
Colorado,Kiowa,1463,666,797,7.2,87,0.8,0.3,0.1,0,22731,2
Colorado,Kit Carson,7980,4379,3601,18.9,75.9,4.2,0.3,0.3,0.2,21769,5.9
Colorado,Lake,7362,4021,3341,37.7,59.6,0.1,0.1,0.7,0,24399,5.7
Colorado,La Plata,53182,27010,26172,12.5,79.6,0.4,5,0.7,0.1,31822,5.2
Colorado,Larimer,318227,158367,159860,10.9,83.5,0.8,0.4,2,0.1,31304,6.7
Colorado,Las Animas,14503,7467,7036,42.4,52.8,1.7,1,0.7,0,22935,9.2
Colorado,Lincoln,5478,3212,2266,17,69.1,11.2,1.5,0.1,0,15203,6.3
Colorado,Logan,21928,11889,10039,15.4,78.5,1.4,1.2,2.1,0,23916,9
Colorado,Mesa,147834,73340,74494,13.9,82.1,0.7,0.4,0.6,0.1,26569,8.7
Colorado,Mineral,733,381,352,10.8,87.9,0.8,0,0,0,32271,1.6
Colorado,Moffat,13117,6830,6287,14.3,82.2,0.5,1,0.7,0.8,24624,5.9
Colorado,Montezuma,25700,12729,12971,12.1,73.5,0.1,11.3,0.2,0,23470,9.5
Colorado,Montrose,40815,20021,20794,20.2,76.4,0.5,0.3,0.4,0.3,23144,10.2
Colorado,Morgan,28359,14088,14271,35,60.5,2.5,0.5,0.4,0,22101,6.2
Colorado,Otero,18572,9121,9451,41.2,55.1,0.3,0.7,0.9,1,19228,10.7
Colorado,Ouray,4580,2239,2341,4.8,92.9,0,0.2,0.8,0,33392,6.7
