STATE	ENROLL	NAME	YRDATA	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	TCURINST	TCURSSVC	TCURONON	TCAPOUT
California	2193	STANISLAUS CO SPL SCHS OPER BY CO SUPT	2013	211391	56816	82411	72164	213080	61580	66048	3463	21125
California	403	SUTTER CO SPL SCHS OPER BY CO SUPT	2013	33926	7259	21231	5436	33335	8483	13295	2494	349
California	184	TEHAMA CO SPECIAL SCHOOLS	2013	25820	5374	14342	6104	24169	7063	9908	1152	344
California	21	TRINITY COUNTY OFFICE OF EDUCATION	2013	6913	2355	2946	1612	7029	297	2438	0	0
California	2246	TULARE CO SPL SCHS OPER BY CO SUPT	2013	189004	63460	99212	26332	187852	48349	58821	38065	1771
California	127	TUOLUMNE COUNTY SELPA	2013	9445	1704	5315	2426	8955	3872	4787	232	21
California	2590	VENTURA CO SPL SCHS OPER BY CO SUPT	2013	192880	41652	104145	47083	190338	43248	50493	3152	1267
California	0	VENTURA COUNTY ROP	2013	997	0	0	997	1098	0	1098	0	0
California	319	YOLO COUNTY SPECIAL SCHOOLS OPERATED BY CO SUPT	2013	37335	11126	16121	10088	34441	7550	10794	473	234
California	536	YUBA CO SPL SCHS OPER BY CO SUPT	2013	22867	5506	11239	6122	23345	7250	6940	1033	102
California	10836	ALAMEDA UNIFIED SCH DIST	2013	103221	6367	48385	48469	105610	55727	33875	4100	6438
California	3804	ALBANY CITY UNIFIED SCH DIST	2013	64024	7576	35777	20671	58219	23465	11487	3296	398
California	9780	BERKELEY UNIFIED SCH DIST	2013	159094	9710	56175	93209	172613	73599	47651	12195	28469
California	9210	CASTRO VAL UNIFIED SCH DIST	2013	112301	12916	71768	27617	112198	45939	26060	5634	1796
California	751	EMERY UNI SCH DIST	2013	19170	1910	4270	12990	18949	5238	6090	522	4298
California	21937	HAYWARD UNIFIED SCHOOL DISTRICT	2013	219596	30388	113378	75830	233854	127838	65307	9312	16761
